"ENSG","Gene","Protein.class","Consensus.RNA.Specificity","Consensus.Enriched.Enhanced.Tissue","Consensus.Distribution","Consensus.Max","Consensus.Min","Human.brain.regional.RNA.Specificity","Human.brain.regional.Enriched.Enhanced.Tissue","Human.brain.regional.Distribution","Human.brain.regional.Max","Human.brain.regional.Min","Human.brain.domain.RNA.Specificity","Human.brain.domain.Enriched.Enhanced.Tissue","Human.brain.domain.Distribution","Human.brain.domain.Max","Human.brain.domain.Min","Human.brain.subregional.RNA.Specificity","Human.brain.subregional.Enriched.Enhanced.Tissue","Human.brain.subregional.Distribution","Human.brain.subregional.Max","Human.brain.subregional.Min","X"
"ENSG00000271254","ENSG00000271254","Predicted intracellular proteins","Low tissue specificity","","Detected in all","36.18 - testis","5.35 - pancreas","Low tissue specificity","","Detected in all","35.09 - white matter","18.37 - choroid plexus","Low tissue specificity","","Detected in all","35.09 - cerebellar white matter","14.29 - retrosplenial cortex","Low tissue specificity","","Detected in all","35.09 - cerebellar white matter","14.22 - occipital cortex",NA
"ENSG00000278704","ENSG00000278704","Predicted intracellular proteins","Low tissue specificity","","Detected in some","1.89 - retina","0.17 - smooth muscle","Low tissue specificity","","Detected in all","18.93 - hypothalamus","8.65 - choroid plexus","Low tissue specificity","","Detected in all","18.93 - tuberal hypothalamus","8.65 - choroid plexus","Low tissue specificity","","Detected in all","18.93 - ventromedial nucleus","8.57 - angular gyrus (white matter)",NA
"ENSG00000277630","ENSG00000277630","Predicted intracellular proteins","Tissue enriched","testis","Detected in single","3.40 - testis","0.00 - choroid plexus","Not detected","","Not detected","0.06 - hypothalamus","0.00 - cerebellum","Not detected","","Not detected","0.06 - supraoptic hypothalamus","0.00 - spinal cord white matter","Not detected","","Not detected","0.06 - paraventricular nucleus","0.00 - orbitofrontal gyrus, anterior",NA
"ENSG00000277196","PRODH","Human disease related genes;Mitochondrial proteins;Predicted intracellular proteins","Tissue enriched","choroid plexus","Detected in many","463.07 - choroid plexus","0.07 - ovary","Tissue enriched","choroid plexus","Detected in all","350.07 - choroid plexus","36.20 - pons","Tissue enriched","choroid plexus","Detected in all","350.07 - choroid plexus","31.54 - cerebellum","Tissue enriched","choroid plexus","Detected in all","350.07 - choroid plexus","16.21 - parieto-temporal junction (white matter)",NA
"ENSG00000278817","ENSG00000278817","Predicted intracellular proteins","Group enriched","choroid plexus;heart muscle;skeletal muscle;tongue","Detected in many","129.29 - tongue","0.34 - ovary","Low tissue specificity","","Detected in all","35.28 - choroid plexus","13.23 - white matter","Low tissue specificity","","Detected in all","35.28 - choroid plexus","9.62 - cerebellum","Low tissue specificity","","Detected in all","35.28 - choroid plexus","6.35 - corpus callosum, splenium (white matter)",NA
"ENSG00000276017","ENSG00000276017","Predicted intracellular proteins","Tissue enriched","testis","Detected in single","10.43 - testis","0.00 - tongue","Not detected","","Not detected","0.51 - choroid plexus","0.11 - basal ganglia","Not detected","","Not detected","0.51 - choroid plexus","0.06 - cerebellar nucleus","Not detected","","Not detected","0.51 - choroid plexus","0.00 - somatomor cortex, precentral gyrus (white matter)",NA
"ENSG00000276256","ENSG00000276256","Predicted intracellular proteins","Low tissue specificity","","Detected in many","64.28 - kidney","0.93 - bone marrow","Low tissue specificity","","Detected in all","13.87 - white matter","5.59 - choroid plexus","Low tissue specificity","","Detected in all","13.87 - spinal cord white matter","5.59 - choroid plexus","Low tissue specificity","","Detected in all","13.87 - lateral funiculus (white matter)","5.29 - precentral gyrus",NA
"ENSG00000278633","ENSG00000278633","Predicted intracellular proteins","Tissue enriched","testis","Detected in single","34.24 - testis","0.00 - adipose tissue","Not detected","","Not detected","0.55 - choroid plexus","0.11 - amygdala","Not detected","","Not detected","0.55 - choroid plexus","0.02 - cerebellar white matter","Not detected","","Not detected","0.55 - choroid plexus","0.01 - medial olivary nucleus",NA
"ENSG00000277400","ENSG00000277400","Mapped to neXtProt;Mapped to UniProt SWISS-PROT;Predicted intracellular proteins","Low tissue specificity","","Detected in many","5.53 - ovary","0.91 - bone marrow","Low tissue specificity","","Detected in all","19.72 - medulla oblongata","8.42 - choroid plexus","Low tissue specificity","","Detected in all","19.72 - medulla oblongata","6.27 - cerebellum","Low tissue specificity","","Detected in all","19.72 - ventral medullary reticular nucleus","5.50 - cerebellar cortex",NA
"ENSG00000274847","MAFIP","Predicted intracellular proteins","Low tissue specificity","","Detected in all","14.48 - parathyroid gland","2.20 - bone marrow","Low tissue specificity","","Detected in all","11.82 - medulla oblongata","7.70 - amygdala","Low tissue specificity","","Detected in all","11.82 - medulla oblongata","5.66 - cerebellum","Low tissue specificity","","Detected in all","11.82 - motor hypoglossal nucleus","4.87 - flocculonodular lobe",NA
"ENSG00000268674","ENSG00000268674","Mapped to neXtProt;Mapped to UniProt SWISS-PROT;Predicted intracellular proteins","Low tissue specificity","","Detected in many","9.60 - thyroid gland","0.36 - skeletal muscle","Low tissue specificity","","Detected in all","12.44 - hypothalamus","2.27 - choroid plexus","Low tissue specificity","","Detected in all","12.44 - tuberal hypothalamus","2.27 - choroid plexus","Low tissue specificity","","Detected in all","12.44 - ventromedial nucleus","2.27 - choroid plexus",NA
"ENSG00000277475","ENSG00000277475","Predicted membrane proteins","Tissue enhanced","pancreas;testis","Detected in many","13.84 - testis","0.00 - choroid plexus","Low tissue specificity","","Detected in all","13.98 - cerebellum","3.35 - choroid plexus","Low tissue specificity","","Detected in all","13.98 - cerebellum","2.52 - cerebellar white matter","Low tissue specificity","","Detected in all","13.98 - cerebellar cortex","2.26 - angular gyrus (white matter)",NA
"ENSG00000273748","ENSG00000273748","Predicted intracellular proteins","Low tissue specificity","","Detected in all","90.91 - gallbladder","7.23 - tongue","Low tissue specificity","","Detected in all","58.31 - cerebellum","38.94 - amygdala","Low tissue specificity","","Detected in all","58.31 - cerebellum","36.19 - epithalamus","Low tissue specificity","","Detected in all","58.31 - vermis","27.53 - posterior thalamic nucleus",NA
"ENSG00000278384","ENSG00000278384","Predicted intracellular proteins","Tissue enhanced","retina","Detected in many","5.38 - retina","0.31 - bone marrow","Low tissue specificity","","Detected in all","22.29 - white matter","12.97 - cerebellum","Low tissue specificity","","Detected in all","22.29 - cortical white matter","10.57 - retrosplenial cortex","Low tissue specificity","","Detected in all","22.29 - parieto-temporal junction (white matter)","10.51 - vermis",NA
"ENSG00000276345","ENSG00000276345","Predicted intracellular proteins","Tissue enhanced","choroid plexus","Detected in many","34.52 - choroid plexus","0.00 - tongue","Low tissue specificity","","Detected in all","6.07 - midbrain","3.86 - basal ganglia","Low tissue specificity","","Detected in all","6.07 - tegmentum","2.85 - retrosplenial cortex","Low tissue specificity","","Detected in all","6.07 - median raphe nucleus","2.08 - vermis",NA
"ENSG00000275063","ENSG00000275063","Mapped to neXtProt;Mapped to UniProt SWISS-PROT;Predicted secreted proteins","Tissue enhanced","intestine;lymphoid tissue;urinary bladder","Detected in many","742.78 - lymphoid tissue","0.00 - choroid plexus","Tissue enhanced","cerebral cortex","Detected in some","2.27 - cerebral cortex","0.07 - midbrain","Tissue enhanced","choroid plexus;frontal cortex","Detected in some","2.27 - frontal cortex","0.00 - mammillary body","Tissue enhanced","choroid plexus;frontal operculum","Detected in some","2.27 - frontal operculum","0.00 - somatomor cortex, precentral gyrus (white matter)",NA
"ENSG00000277856","ENSG00000277856","Predicted intracellular proteins","Tissue enhanced","intestine;lymphoid tissue;stomach 1","Detected in many","217.22 - lymphoid tissue","0.00 - choroid plexus","Low tissue specificity","","Detected in single","1.05 - white matter","0.00 - amygdala","Tissue enhanced","spinal cord white matter","Detected in single","1.05 - spinal cord white matter","0.00 - amygdala","Tissue enhanced","dorsal funiculus (white matter)","Detected in single","1.05 - dorsal funiculus (white matter)","0.00 - somatomor cortex, precentral gyrus (white matter)",NA
"ENSG00000274175","ENSG00000274175","Predicted intracellular proteins","Group enriched","epididymis;testis","Detected in some","5.94 - epididymis","0.00 - choroid plexus","Not detected","","Not detected","0.07 - pons","0.00 - choroid plexus","Not detected","","Not detected","0.07 - pons","0.00 - choroid plexus","Not detected","","Not detected","0.07 - anterior cochlear nucleus, ventral","0.00 - parahippocampal cortex (white matter)",NA
"ENSG00000273554","ENSG00000273554","Predicted membrane proteins","Tissue enhanced","skin 1;testis","Detected in some","4.47 - testis","0.00 - choroid plexus","Not detected","","Not detected","0.04 - white matter","0.01 - choroid plexus","Not detected","","Not detected","0.04 - cortical white matter","0.01 - choroid plexus","Not detected","","Not detected","0.04 - occipital cortex (white matter)","0.00 - parahippocampal cortex (white matter)",NA
"ENSG00000275869","ENSG00000275869","Predicted intracellular proteins","Tissue enhanced","testis","Detected in single","1.63 - testis","0.00 - choroid plexus","Not detected","","Not detected","0.24 - cerebral cortex","0.00 - choroid plexus","Not detected","","Not detected","0.24 - parietal cortex","0.00 - retrosplenial cortex","Not detected","","Not detected","0.24 - paracentral lobule, posterior","0.00 - parahippocampal cortex (white matter)",NA
