gene	UMAP_1	UMAP_2	UMAP_1_scaled	UMAP_2_scaled	UMAP Cluster blood	UMAP Cluster brain	UMAP Cluster singlecell	UMAP Cluster tissue	UMAP Cluster celline
ENSG00000005100	0.6153	-0.2512	0.6153	-0.2512	NA	40	17	63	NA
ENSG00000006118	0.2751	-0.288	0.2751	-0.288	NA	40	11	1	NA
ENSG00000008086	0.6273	-0.2385	0.6273	-0.2385	NA	40	69	46	NA
ENSG00000008853	0.6108	-0.3138	0.6108	-0.3138	NA	40	81	73	NA
ENSG00000010818	0.6661	0.0305	0.6661	0.0305	NA	40	51	63	NA
ENSG00000011347	0.6282	-0.2114	0.6282	-0.2114	NA	40	59	36	NA
ENSG00000019485	0.2902	-0.2793	0.2902	-0.2793	NA	40	74	74	NA
ENSG00000022556	0.6099	-0.5493	0.6099	-0.5493	NA	40	21	39	NA
ENSG00000025423	0.3081	-0.3744	0.3081	-0.3744	NA	40	93	45	NA
ENSG00000029153	0.6888	-0.225	0.6888	-0.225	NA	40	49	81	NA
ENSG00000038382	0.3682	-0.377	0.3682	-0.377	NA	40	51	24	NA
ENSG00000048707	0.588	-0.2391	0.588	-0.2391	NA	40	110	24	NA
ENSG00000049130	0.5905	-0.2619	0.5905	-0.2619	NA	40	64	13	NA
ENSG00000050767	0.5091	-0.1648	0.5091	-0.1648	NA	40	37	33	NA
ENSG00000052126	0.6099	-0.2617	0.6099	-0.2617	NA	40	91	4	NA
ENSG00000053747	0.6231	-0.3713	0.6231	-0.3713	NA	40	45	11	NA
ENSG00000055813	0.6413	-0.3045	0.6413	-0.3045	NA	40	109	43	NA
ENSG00000056736	0.2839	-0.3625	0.2839	-0.3625	NA	40	95	76	NA
ENSG00000056972	0.2956	-0.5034	0.2956	-0.5034	NA	40	71	11	NA
ENSG00000064763	0.6217	-0.274	0.6217	-0.274	NA	40	37	77	NA
ENSG00000064999	0.1969	-0.3328	0.1969	-0.3328	NA	40	12	14	NA
ENSG00000066032	0.5785	-0.2935	0.5785	-0.2935	NA	40	28	46	NA
ENSG00000068305	0.663	-0.108	0.663	-0.108	NA	40	12	41	NA
ENSG00000074211	0.6418	-0.3197	0.6418	-0.3197	NA	40	35	3	NA
ENSG00000074416	0.6086	-0.2574	0.6086	-0.2574	NA	40	49	11	NA
ENSG00000075391	0.6504	-0.2272	0.6504	-0.2272	NA	40	12	42	NA
ENSG00000075568	0.6792	-0.0448	0.6792	-0.0448	NA	40	87	63	NA
ENSG00000077009	0.2449	-0.3673	0.2449	-0.3673	NA	40	55	41	NA
ENSG00000079215	0.4153	-0.3705	0.4153	-0.3705	NA	40	74	73	NA
ENSG00000079691	0.3434	-0.3642	0.3434	-0.3642	NA	40	71	7	NA
ENSG00000080493	0.3848	-0.377	0.3848	-0.377	NA	40	28	8	NA
ENSG00000081320	0.5907	-0.3469	0.5907	-0.3469	NA	40	29	15	NA
ENSG00000084676	0.5377	-0.4207	0.5377	-0.4207	NA	40	24	25	NA
ENSG00000087250	0.5524	-0.3294	0.5524	-0.3294	NA	40	11	78	NA
ENSG00000088808	0.3257	-0.4147	0.3257	-0.4147	NA	40	12	35	NA
