"Tissue.expression.cluster","cluster_id"
"Cluster 1: Choroid plexus - Transmembrane transport",1
"Cluster 2: Non-specific - Mixed function",2
"Cluster 3: Oligodendrocytes - Myelination",3
"Cluster 4: Adrenal gland - Steroid metabolism",4
"Cluster 5: Spleen - Immune response",5
"Cluster 6: Testis - Spermatogenesis",6
"Cluster 7: Small intestine - Absorption and Digestion",7
"Cluster 8: Pancreas - Proteolysis",8
"Cluster 9: Skin - Hair follicle development",9
"Cluster 10: Brain - Synaptic signal transduction",10
"Cluster 11: Esophagus - Basic cellular processes",11
"Cluster 12: Smooth muscle tissue - ECM organization",12
"Cluster 13: Lung - Secretion",13
"Cluster 14: Adipose tissue - Angiogenesis",14
"Cluster 15: Bone marrow - Innate immune response",15
"Cluster 16: Liver & Kidney - Metabolism",16
"Cluster 17: Intestine - Digestion",17
"Cluster 18: Lymphoid tissue - Immune response",18
"Cluster 19: Skeletal muscle - Striated muscle contraction",19
"Cluster 20: Pituitary gland - Hormone signaling",20
"Cluster 21: Testis - Mixed function",21
"Cluster 22: Epididymis - Mixed function",22
"Cluster 23: Testis - Spermatogenesis",23
"Cluster 24: Non-specific - Transcription",24
"Cluster 25: Non-specific - Basic cellular processes",25
"Cluster 26: Kidney & Intestine - Metabolism",26
"Cluster 27: Cerebellum - Synaptic function",27
"Cluster 28: Liver & Adrenal gland - Secretion",28
"Cluster 29: Lymphoid tissue & Bone marrow - Innate immune response",29
"Cluster 30: Skeletal muscle - Striated muscle contraction",30
"Cluster 31: Liver - Metabolism & Coagulation",31
"Cluster 32: Retina & Lymphoid tissues - Signaling",32
"Cluster 33: Thyroid gland - Tissue development",33
"Cluster 34: Lymphoid tissue - Adaptive immune response",34
"Cluster 35: Non-specific - Mixed function",35
"Cluster 36: Brain & Liver - Signaling",36
"Cluster 37: Skin - Keratinization",37
"Cluster 38: Non-specific - Basic cellular processes",38
"Cluster 39: Testis - Nuclear processes",39
"Cluster 40: Non-specific - Mixed function",40
"Cluster 41: Striated muscle - Muscle contraction",41
"Cluster 42: Retina - Visual perception",42
"Cluster 43: Placenta - Pregnancy hormone signaling",43
"Cluster 44: Bone marrow - Nuclear processes",44
"Cluster 45: Liver - Metabolism & Coagulation",45
"Cluster 46: Brain & retina - Neuronal signaling",46
"Cluster 47: Testis - Mixed function",47
"Cluster 48: Ciliated tissues - Cilium organization",48
"Cluster 49: Non-specific - Transcription",49
"Cluster 50: Epididymis - Male reproductive secretion",50
"Cluster 51: Lymphoid tissue - Adaptive immune response",51
"Cluster 52: Non-specific - Cellular respiration",52
"Cluster 53: Liver - Plasma proteins",53
"Cluster 54: Non-specific - Ribosome",54
"Cluster 55: Breast - Lactation",55
"Cluster 56: Ciliated tissues - Cilium organization",56
"Cluster 57: Testis - Spermatogenesis",57
"Cluster 58: Skin - Keratinization",58
"Cluster 59: Lymphoid tissue & Bone marrow - Cell proliferation",59
"Cluster 60: Stomach - Digestion",60
"Cluster 61: Non-specific - Transcription",61
"Cluster 62: Skeletal muscle - Muscle contraction",62
"Cluster 63: Non-specific - Basic cellular processes",63
"Cluster 64: Non-specific - Transcription",64
"Cluster 65: Brain - Transcription",65
"Cluster 66: Lymphoid tissue - Immune response",66
"Cluster 67: Testis - Mixed function",67
"Cluster 68: Non-specific - Basic cellular processes",68
"Cluster 69: Parathyroid gland - Mixed function",69
"Cluster 70: Non-specific - Protein processing",70
"Cluster 71: Cerebellum - Nervous system development",71
"Cluster 72: Kidney - Transmembrane transport",72
"Cluster 73: Brain - Neuronal signaling",73
"Cluster 74: Non-specific - Signal transduction",74
"Cluster 75: Ovary - Mixed function",75
"Cluster 76: Non-specific - Metabolism",76
"Cluster 77: Intestine - Digestion",77
"Cluster 78: Brain - Neuronal signaling",78
"Cluster 79: Testis - Spermatogenesis",79
"Cluster 80: Thymus - Adaptive immune response",80
"Cluster 81: Squamous epithelium - Keratinization",81
"Cluster 82: Salivary gland - Secretion",82
"",NA
