gene_name,ensembl_gene_id,x,y,cluster_no,location_name
TMEM176A,ENSG00000002933,-0.0643,-0.1809,1,"Enterocytes - Absorption and Digestion"
SLC13A2,ENSG00000007216,-0.0908,-0.1783,1,"Enterocytes - Absorption and Digestion"
IYD,ENSG00000009765,-0.0735,-0.1797,1,"Enterocytes - Absorption and Digestion"
NR1H4,ENSG00000012504,-0.0871,-0.1748,1,"Enterocytes - Absorption and Digestion"
HEBP1,ENSG00000013583,-0.0913,-0.1760,1,"Enterocytes - Absorption and Digestion"
DPEP1,ENSG00000015413,-0.0901,-0.1776,1,"Enterocytes - Absorption and Digestion"
SLC7A9,ENSG00000021488,-0.0922,-0.1810,1,"Enterocytes - Absorption and Digestion"
OTC,ENSG00000036473,-0.0795,-0.1600,1,"Enterocytes - Absorption and Digestion"
PARP3,ENSG00000041880,-0.0683,-0.1534,1,"Enterocytes - Absorption and Digestion"
CREB3L3,ENSG00000060566,-0.0882,-0.1803,1,"Enterocytes - Absorption and Digestion"
EPN1,ENSG00000063245,-0.0801,-0.1825,1,"Enterocytes - Absorption and Digestion"
OAT,ENSG00000065154,-0.0876,-0.1742,1,"Enterocytes - Absorption and Digestion"
GBA2,ENSG00000070610,-0.0808,-0.1634,1,"Enterocytes - Absorption and Digestion"
GSDMB,ENSG00000073605,-0.0849,-0.1801,1,"Enterocytes - Absorption and Digestion"
CDHR2,ENSG00000074276,-0.0847,-0.1816,1,"Enterocytes - Absorption and Digestion"
SI,ENSG00000090402,-0.0880,-0.1752,1,"Enterocytes - Absorption and Digestion"
PCSK5,ENSG00000099139,-0.0851,-0.1698,1,"Enterocytes - Absorption and Digestion"
LGALS2,ENSG00000100079,-0.0829,-0.1663,1,"Enterocytes - Absorption and Digestion"
SLC5A1,ENSG00000100170,-0.0916,-0.1740,1,"Enterocytes - Absorption and Digestion"
CYP2D6,ENSG00000100197,-0.0902,-0.1780,1,"Enterocytes - Absorption and Digestion"
SLC52A3,ENSG00000101276,-0.0872,-0.1742,1,"Enterocytes - Absorption and Digestion"
POFUT1,ENSG00000101346,-0.0759,-0.1630,1,"Enterocytes - Absorption and Digestion"
ABCD1,ENSG00000101986,-0.0927,-0.1809,1,"Enterocytes - Absorption and Digestion"
DHDH,ENSG00000104808,-0.0880,-0.1811,1,"Enterocytes - Absorption and Digestion"
CYP3A5,ENSG00000106258,-0.0669,-0.1864,1,"Enterocytes - Absorption and Digestion"
CLDN15,ENSG00000106404,-0.0835,-0.1679,1,"Enterocytes - Absorption and Digestion"
TMEM176B,ENSG00000106565,-0.0706,-0.1791,1,"Enterocytes - Absorption and Digestion"
SFXN3,ENSG00000107819,-0.0840,-0.1714,1,"Enterocytes - Absorption and Digestion"
PBLD,ENSG00000108187,-0.0878,-0.1769,1,"Enterocytes - Absorption and Digestion"
APOA4,ENSG00000110244,-0.0872,-0.1813,1,"Enterocytes - Absorption and Digestion"
APOBEC1,ENSG00000111701,-0.0894,-0.1798,1,"Enterocytes - Absorption and Digestion"
DNPH1,ENSG00000112667,-0.0758,-0.1642,1,"Enterocytes - Absorption and Digestion"
MEP1A,ENSG00000112818,-0.0820,-0.1822,1,"Enterocytes - Absorption and Digestion"
RBP2,ENSG00000114113,-0.0910,-0.1766,1,"Enterocytes - Absorption and Digestion"
AKR1A1,ENSG00000117448,-0.0782,-0.1597,1,"Enterocytes - Absorption and Digestion"
EPHX2,ENSG00000120915,-0.0787,-0.1682,1,"Enterocytes - Absorption and Digestion"
XPNPEP2,ENSG00000122121,-0.0871,-0.1798,1,"Enterocytes - Absorption and Digestion"
PEPD,ENSG00000124299,-0.0919,-0.1748,1,"Enterocytes - Absorption and Digestion"
SLC10A2,ENSG00000125255,-0.0919,-0.1783,1,"Enterocytes - Absorption and Digestion"
VIL1,ENSG00000127831,-0.0790,-0.1657,1,"Enterocytes - Absorption and Digestion"
MGAT3,ENSG00000128268,-0.0946,-0.1796,1,"Enterocytes - Absorption and Digestion"
MPST,ENSG00000128309,-0.0712,-0.1755,1,"Enterocytes - Absorption and Digestion"
GATA5,ENSG00000130700,-0.0916,-0.1773,1,"Enterocytes - Absorption and Digestion"
RBBP8NL,ENSG00000130701,-0.0888,-0.1817,1,"Enterocytes - Absorption and Digestion"
CCL25,ENSG00000131142,-0.0716,-0.1581,1,"Enterocytes - Absorption and Digestion"
PRKAB2,ENSG00000131791,-0.0713,-0.1802,1,"Enterocytes - Absorption and Digestion"
ACY3,ENSG00000132744,-0.0862,-0.1835,1,"Enterocytes - Absorption and Digestion"
ALDOB,ENSG00000136872,-0.0892,-0.1807,1,"Enterocytes - Absorption and Digestion"
KHK,ENSG00000138030,-0.0908,-0.1779,1,"Enterocytes - Absorption and Digestion"
PLA2G12B,ENSG00000138308,-0.0841,-0.1837,1,"Enterocytes - Absorption and Digestion"
MTTP,ENSG00000138823,-0.0913,-0.1809,1,"Enterocytes - Absorption and Digestion"
SLC46A3,ENSG00000139508,-0.0858,-0.1763,1,"Enterocytes - Absorption and Digestion"
SLC39A5,ENSG00000139540,-0.0848,-0.1660,1,"Enterocytes - Absorption and Digestion"
SCRN2,ENSG00000141295,-0.0755,-0.1556,1,"Enterocytes - Absorption and Digestion"
MEP1B,ENSG00000141434,-0.0942,-0.1821,1,"Enterocytes - Absorption and Digestion"
SAT2,ENSG00000141504,-0.0905,-0.1813,1,"Enterocytes - Absorption and Digestion"
