gene_name,ensembl_gene_id,x,y,cluster_no,location_name
TNMD,ENSG00000000005,0.2818,0.5111,14,"Adipose tissue - Angiogenesis"
CFLAR,ENSG00000003402,0.2684,0.4647,14,"Adipose tissue - Angiogenesis"
TFPI,ENSG00000003436,0.3416,0.4287,14,"Adipose tissue - Angiogenesis"
PLXND1,ENSG00000004399,0.3194,0.4386,14,"Adipose tissue - Angiogenesis"
MEOX1,ENSG00000005102,0.2511,0.4748,14,"Adipose tissue - Angiogenesis"
PRKAR2B,ENSG00000005249,0.2864,0.5140,14,"Adipose tissue - Angiogenesis"
ITGA3,ENSG00000005884,0.2757,0.4972,14,"Adipose tissue - Angiogenesis"
CYTH3,ENSG00000008256,0.2756,0.4702,14,"Adipose tissue - Angiogenesis"
SEMA3G,ENSG00000010319,0.2800,0.4958,14,"Adipose tissue - Angiogenesis"
PHLDB1,ENSG00000019144,0.2511,0.5079,14,"Adipose tissue - Angiogenesis"
HMGB3,ENSG00000029993,0.3508,0.4174,14,"Adipose tissue - Angiogenesis"
ARHGAP31,ENSG00000031081,0.3070,0.4446,14,"Adipose tissue - Angiogenesis"
FLT4,ENSG00000037280,0.2726,0.4455,14,"Adipose tissue - Angiogenesis"
VCAN,ENSG00000038427,0.2725,0.5243,14,"Adipose tissue - Angiogenesis"
RIPOR1,ENSG00000039523,0.2687,0.4474,14,"Adipose tissue - Angiogenesis"
AIFM2,ENSG00000042286,0.2618,0.5318,14,"Adipose tissue - Angiogenesis"
ADRB1,ENSG00000043591,0.3011,0.4335,14,"Adipose tissue - Angiogenesis"
EPHA3,ENSG00000044524,0.3207,0.4313,14,"Adipose tissue - Angiogenesis"
ADAMTS6,ENSG00000049192,0.2895,0.4366,14,"Adipose tissue - Angiogenesis"
OPN3,ENSG00000054277,0.3628,0.4106,14,"Adipose tissue - Angiogenesis"
GYG2,ENSG00000056998,0.2899,0.5083,14,"Adipose tissue - Angiogenesis"
ANKS1A,ENSG00000064999,0.2696,0.4505,14,"Adipose tissue - Angiogenesis"
TRAM2,ENSG00000065308,0.2868,0.4436,14,"Adipose tissue - Angiogenesis"
TIE1,ENSG00000066056,0.2757,0.4568,14,"Adipose tissue - Angiogenesis"
