gene_name,ensembl_gene_id,x,y,cluster_no,location_name
SCYL3,ENSG00000000457,0.3805,-0.1395,1,"Liver & Kidney - Metabolism"
TMEM176A,ENSG00000002933,0.4299,-0.1643,1,"Liver & Kidney - Metabolism"
SLC25A13,ENSG00000004864,0.4372,-0.1737,1,"Liver & Kidney - Metabolism"
ACSM3,ENSG00000005187,0.4287,-0.1701,1,"Liver & Kidney - Metabolism"
IBTK,ENSG00000005700,0.0783,-0.1959,1,"Liver & Kidney - Metabolism"
UPP2,ENSG00000007001,0.4061,-0.0836,1,"Liver & Kidney - Metabolism"
MBTPS2,ENSG00000012174,0.3875,-0.1484,1,"Liver & Kidney - Metabolism"
GCLM,ENSG00000023909,0.4281,-0.1736,1,"Liver & Kidney - Metabolism"
PEX3,ENSG00000034693,0.2772,-0.1239,1,"Liver & Kidney - Metabolism"
TBC1D23,ENSG00000036054,0.0860,-0.1766,1,"Liver & Kidney - Metabolism"
ATG5,ENSG00000057663,0.1104,0.1245,1,"Liver & Kidney - Metabolism"
ACAA1,ENSG00000060971,0.4222,-0.1551,1,"Liver & Kidney - Metabolism"
TRMT11,ENSG00000066651,0.4186,-0.1484,1,"Liver & Kidney - Metabolism"
ACSM2B,ENSG00000066813,0.4036,-0.1287,1,"Liver & Kidney - Metabolism"
MTFR1,ENSG00000066855,0.3949,-0.1166,1,"Liver & Kidney - Metabolism"
LMAN1,ENSG00000074695,0.3895,-0.1450,1,"Liver & Kidney - Metabolism"
ACAT1,ENSG00000075239,0.3986,-0.1256,1,"Liver & Kidney - Metabolism"
FMO4,ENSG00000076258,0.4036,-0.1290,1,"Liver & Kidney - Metabolism"
MCCC1,ENSG00000078070,0.2983,-0.1347,1,"Liver & Kidney - Metabolism"
AFM,ENSG00000079557,0.4744,-0.2232,1,"Liver & Kidney - Metabolism"
COBLL1,ENSG00000082438,0.3925,-0.1653,1,"Liver & Kidney - Metabolism"
BCKDHB,ENSG00000083123,0.4202,-0.1561,1,"Liver & Kidney - Metabolism"
ZMPSTE24,ENSG00000084073,0.3022,-0.0967,1,"Liver & Kidney - Metabolism"
SEPHS1,ENSG00000086475,0.3366,-0.1083,1,"Liver & Kidney - Metabolism"
RBBP9,ENSG00000089050,0.3873,-0.1183,1,"Liver & Kidney - Metabolism"
ABCC6,ENSG00000091262,0.4220,-0.1625,1,"Liver & Kidney - Metabolism"
ECHDC1,ENSG00000093144,0.3848,-0.1326,1,"Liver & Kidney - Metabolism"
XYLB,ENSG00000093217,0.4341,-0.1665,1,"Liver & Kidney - Metabolism"
OCEL1,ENSG00000099330,0.4240,-0.1593,1,"Liver & Kidney - Metabolism"
UPB1,ENSG00000100024,0.4661,-0.2114,1,"Liver & Kidney - Metabolism"
CRYBB3,ENSG00000100053,0.3816,-0.1010,1,"Liver & Kidney - Metabolism"
CNIH1,ENSG00000100528,0.4303,-0.1742,1,"Liver & Kidney - Metabolism"
MTHFD1,ENSG00000100714,0.4624,-0.2136,1,"Liver & Kidney - Metabolism"
POFUT1,ENSG00000101346,0.3458,-0.0758,1,"Liver & Kidney - Metabolism"
ATP11C,ENSG00000101974,0.4209,-0.1665,1,"Liver & Kidney - Metabolism"
FAH,ENSG00000103876,0.4284,-0.1667,1,"Liver & Kidney - Metabolism"
BPNT2,ENSG00000104331,0.3662,-0.1393,1,"Liver & Kidney - Metabolism"
NUCB1,ENSG00000104805,0.3671,-0.1451,1,"Liver & Kidney - Metabolism"
GTPBP10,ENSG00000105793,0.1104,-0.1985,1,"Liver & Kidney - Metabolism"
HIBADH,ENSG00000106049,0.3504,-0.1111,1,"Liver & Kidney - Metabolism"
TMEM106B,ENSG00000106460,0.3738,-0.1387,1,"Liver & Kidney - Metabolism"
TMEM176B,ENSG00000106565,0.4412,-0.1812,1,"Liver & Kidney - Metabolism"
PNPO,ENSG00000108439,0.3980,-0.1374,1,"Liver & Kidney - Metabolism"
FAM20A,ENSG00000108950,0.4360,-0.1890,1,"Liver & Kidney - Metabolism"
TMEM33,ENSG00000109133,0.2765,-0.0873,1,"Liver & Kidney - Metabolism"
SLC2A9,ENSG00000109667,0.4002,-0.1160,1,"Liver & Kidney - Metabolism"
OSBP,ENSG00000110048,0.3116,-0.0934,1,"Liver & Kidney - Metabolism"
DAO,ENSG00000110887,0.4086,-0.1374,1,"Liver & Kidney - Metabolism"
ACSS3,ENSG00000111058,0.3813,-0.1168,1,"Liver & Kidney - Metabolism"
FBXL4,ENSG00000112234,0.3482,-0.1078,1,"Liver & Kidney - Metabolism"
MSH3,ENSG00000113318,0.3754,-0.1123,1,"Liver & Kidney - Metabolism"
AGXT2,ENSG00000113492,0.3967,-0.1005,1,"Liver & Kidney - Metabolism"
C5orf15,ENSG00000113583,0.3492,-0.0833,1,"Liver & Kidney - Metabolism"
EHHADH,ENSG00000113790,0.4141,-0.1470,1,"Liver & Kidney - Metabolism"
KNG1,ENSG00000113889,0.4537,-0.1985,1,"Liver & Kidney - Metabolism"
HGD,ENSG00000113924,0.4260,-0.1586,1,"Liver & Kidney - Metabolism"
NIT2,ENSG00000114021,0.4048,-0.1332,1,"Liver & Kidney - Metabolism"
SNX4,ENSG00000114520,0.3557,-0.0890,1,"Liver & Kidney - Metabolism"
CISH,ENSG00000114737,0.3946,-0.1249,1,"Liver & Kidney - Metabolism"
EPB41L5,ENSG00000115109,-0.4380,-0.0992,1,"Liver & Kidney - Metabolism"
MRPL19,ENSG00000115364,0.3562,-0.1090,1,"Liver & Kidney - Metabolism"
PECR,ENSG00000115425,0.4352,-0.1670,1,"Liver & Kidney - Metabolism"
PCYOX1,ENSG00000116005,0.3943,-0.1286,1,"Liver & Kidney - Metabolism"
DNAJC16,ENSG00000116138,0.3566,-0.0990,1,"Liver & Kidney - Metabolism"
AGMAT,ENSG00000116771,0.3962,-0.0908,1,"Liver & Kidney - Metabolism"
CRYZ,ENSG00000116791,0.4003,-0.1141,1,"Liver & Kidney - Metabolism"
HAO2,ENSG00000116882,0.4014,-0.1295,1,"Liver & Kidney - Metabolism"
KMO,ENSG00000117009,0.4210,-0.1521,1,"Liver & Kidney - Metabolism"
GPR89A,ENSG00000117262,0.3578,-0.0976,1,"Liver & Kidney - Metabolism"
HMGCL,ENSG00000117305,0.4132,-0.1457,1,"Liver & Kidney - Metabolism"
MTARC2,ENSG00000117791,0.3411,-0.0912,1,"Liver & Kidney - Metabolism"
ALDH8A1,ENSG00000118514,0.4225,-0.1562,1,"Liver & Kidney - Metabolism"
RAB14,ENSG00000119396,0.3940,-0.1358,1,"Liver & Kidney - Metabolism"
ALDH6A1,ENSG00000119711,0.3934,-0.1137,1,"Liver & Kidney - Metabolism"
ECHDC2,ENSG00000121310,0.4311,-0.1771,1,"Liver & Kidney - Metabolism"
CAT,ENSG00000121691,0.4282,-0.1700,1,"Liver & Kidney - Metabolism"
PLG,ENSG00000122194,0.4748,-0.2238,1,"Liver & Kidney - Metabolism"
ACO1,ENSG00000122729,0.4095,-0.1493,1,"Liver & Kidney - Metabolism"
STAU1,ENSG00000124214,0.3458,-0.1012,1,"Liver & Kidney - Metabolism"
PCK1,ENSG00000124253,0.4062,-0.1325,1,"Liver & Kidney - Metabolism"
MT1G,ENSG00000125144,0.3865,-0.1220,1,"Liver & Kidney - Metabolism"
PROZ,ENSG00000126231,0.4633,-0.2099,1,"Liver & Kidney - Metabolism"
ASL,ENSG00000126522,0.4574,-0.2009,1,"Liver & Kidney - Metabolism"
ECHS1,ENSG00000127884,0.4198,-0.1536,1,"Liver & Kidney - Metabolism"
PDE11A,ENSG00000128655,0.3512,-0.1222,1,"Liver & Kidney - Metabolism"
ASS1,ENSG00000130707,0.4086,-0.1388,1,"Liver & Kidney - Metabolism"
G6PC1,ENSG00000131482,0.4238,-0.1584,1,"Liver & Kidney - Metabolism"
IL13RA1,ENSG00000131724,0.4544,-0.1934,1,"Liver & Kidney - Metabolism"
ZCCHC9,ENSG00000131732,0.4231,-0.1633,1,"Liver & Kidney - Metabolism"
MCCC2,ENSG00000131844,0.2786,-0.1386,1,"Liver & Kidney - Metabolism"
RIDA,ENSG00000132541,0.4157,-0.1484,1,"Liver & Kidney - Metabolism"
DMGDH,ENSG00000132837,0.4092,-0.1339,1,"Liver & Kidney - Metabolism"
BHMT2,ENSG00000132840,0.4041,-0.1319,1,"Liver & Kidney - Metabolism"
ANGPTL3,ENSG00000132855,0.4792,-0.2342,1,"Liver & Kidney - Metabolism"
ATP13A3,ENSG00000133657,0.3644,-0.1356,1,"Liver & Kidney - Metabolism"
HSD17B4,ENSG00000133835,0.4203,-0.1580,1,"Liver & Kidney - Metabolism"
WDR36,ENSG00000134987,0.3918,-0.1627,1,"Liver & Kidney - Metabolism"
TMEM60,ENSG00000135211,0.3229,-0.1075,1,"Liver & Kidney - Metabolism"
MTO1,ENSG00000135297,0.4041,-0.1336,1,"Liver & Kidney - Metabolism"
GRHPR,ENSG00000137106,0.4330,-0.1843,1,"Liver & Kidney - Metabolism"
ALDH1B1,ENSG00000137124,0.4328,-0.1714,1,"Liver & Kidney - Metabolism"
SLC22A7,ENSG00000137204,0.4601,-0.2089,1,"Liver & Kidney - Metabolism"
BPHL,ENSG00000137274,0.3917,-0.1105,1,"Liver & Kidney - Metabolism"
FAM8A1,ENSG00000137414,0.4316,-0.1722,1,"Liver & Kidney - Metabolism"
GGH,ENSG00000137563,0.4133,-0.1442,1,"Liver & Kidney - Metabolism"
SLC37A4,ENSG00000137700,0.4330,-0.1785,1,"Liver & Kidney - Metabolism"
GCHFR,ENSG00000137880,0.4342,-0.1867,1,"Liver & Kidney - Metabolism"
DBT,ENSG00000137992,0.3542,-0.1238,1,"Liver & Kidney - Metabolism"
RNF185,ENSG00000138942,0.3314,-0.1041,1,"Liver & Kidney - Metabolism"
ETFBKMT,ENSG00000139160,0.4026,-0.1367,1,"Liver & Kidney - Metabolism"
RBP5,ENSG00000139194,0.3962,-0.1088,1,"Liver & Kidney - Metabolism"
SDSL,ENSG00000139410,0.4032,-0.1427,1,"Liver & Kidney - Metabolism"
SUOX,ENSG00000139531,0.3693,-0.1222,1,"Liver & Kidney - Metabolism"
TMBIM6,ENSG00000139644,0.3922,-0.1253,1,"Liver & Kidney - Metabolism"
ESD,ENSG00000139684,0.4119,-0.1452,1,"Liver & Kidney - Metabolism"
SORD,ENSG00000140263,0.4240,-0.1607,1,"Liver & Kidney - Metabolism"
SLC27A2,ENSG00000140284,0.4091,-0.1379,1,"Liver & Kidney - Metabolism"
PCTP,ENSG00000141179,0.4206,-0.1557,1,"Liver & Kidney - Metabolism"
DNMT3L,ENSG00000142182,0.4212,-0.1529,1,"Liver & Kidney - Metabolism"
SLC47A1,ENSG00000142494,0.3757,-0.1213,1,"Liver & Kidney - Metabolism"
ALDH9A1,ENSG00000143149,0.3733,-0.1198,1,"Liver & Kidney - Metabolism"
CERS2,ENSG00000143418,0.3956,-0.1435,1,"Liver & Kidney - Metabolism"
PKLR,ENSG00000143627,0.4277,-0.1634,1,"Liver & Kidney - Metabolism"
ETNK2,ENSG00000143845,0.4147,-0.1478,1,"Liver & Kidney - Metabolism"
TRPM8,ENSG00000144481,0.4174,-0.1759,1,"Liver & Kidney - Metabolism"
CBR4,ENSG00000145439,0.4139,-0.1486,1,"Liver & Kidney - Metabolism"
CYP4V2,ENSG00000145476,0.4078,-0.1480,1,"Liver & Kidney - Metabolism"
UGT3A1,ENSG00000145626,0.4028,-0.1303,1,"Liver & Kidney - Metabolism"
BHMT,ENSG00000145692,0.4063,-0.1351,1,"Liver & Kidney - Metabolism"
MMUT,ENSG00000146085,0.4320,-0.1746,1,"Liver & Kidney - Metabolism"
LGSN,ENSG00000146166,0.4154,-0.1483,1,"Liver & Kidney - Metabolism"
ARMT1,ENSG00000146476,0.4016,-0.1255,1,"Liver & Kidney - Metabolism"
SLC16A2,ENSG00000147100,0.4082,-0.1753,1,"Liver & Kidney - Metabolism"
RIPPLY1,ENSG00000147223,0.4066,-0.1364,1,"Liver & Kidney - Metabolism"
ERLIN2,ENSG00000147475,0.3108,-0.0932,1,"Liver & Kidney - Metabolism"
LACTB2,ENSG00000147592,0.3801,-0.1060,1,"Liver & Kidney - Metabolism"
DPYS,ENSG00000147647,0.4140,-0.1456,1,"Liver & Kidney - Metabolism"
EBAG9,ENSG00000147654,0.3250,-0.1021,1,"Liver & Kidney - Metabolism"
GLYAT,ENSG00000149124,0.4030,-0.1308,1,"Liver & Kidney - Metabolism"
HNMT,ENSG00000150540,0.4289,-0.1718,1,"Liver & Kidney - Metabolism"
PTS,ENSG00000150787,0.3924,-0.1000,1,"Liver & Kidney - Metabolism"
FREM2,ENSG00000150893,0.3908,-0.0921,1,"Liver & Kidney - Metabolism"
MMAA,ENSG00000151611,0.4227,-0.1535,1,"Liver & Kidney - Metabolism"
FARP1,ENSG00000152767,0.3448,-0.1100,1,"Liver & Kidney - Metabolism"
PANK1,ENSG00000152782,0.4191,-0.1518,1,"Liver & Kidney - Metabolism"
ACMSD,ENSG00000153086,0.4031,-0.1304,1,"Liver & Kidney - Metabolism"
RMND1,ENSG00000155906,0.3887,-0.1113,1,"Liver & Kidney - Metabolism"
ADK,ENSG00000156110,0.4043,-0.1516,1,"Liver & Kidney - Metabolism"
HPD,ENSG00000158104,0.4370,-0.1773,1,"Liver & Kidney - Metabolism"
RCAN1,ENSG00000159200,0.2718,-0.0899,1,"Liver & Kidney - Metabolism"
CLDN14,ENSG00000159261,0.4168,-0.1450,1,"Liver & Kidney - Metabolism"
HLCS,ENSG00000159267,0.3221,-0.0992,1,"Liver & Kidney - Metabolism"
ALDH4A1,ENSG00000159423,0.3965,-0.1544,1,"Liver & Kidney - Metabolism"
FTCD,ENSG00000160282,0.4539,-0.1980,1,"Liver & Kidney - Metabolism"
LARP4,ENSG00000161813,0.4046,-0.1467,1,"Liver & Kidney - Metabolism"
CYP4A22,ENSG00000162365,0.4485,-0.1876,1,"Liver & Kidney - Metabolism"
AK4,ENSG00000162433,0.3895,-0.1026,1,"Liver & Kidney - Metabolism"
HAAO,ENSG00000162882,0.4495,-0.1945,1,"Liver & Kidney - Metabolism"
PEX13,ENSG00000162928,0.4217,-0.1650,1,"Liver & Kidney - Metabolism"
PDSS2,ENSG00000164494,0.3074,-0.1079,1,"Liver & Kidney - Metabolism"
PRDX3,ENSG00000165672,0.2814,-0.1393,1,"Liver & Kidney - Metabolism"
AVPR1A,ENSG00000166148,0.3738,-0.1452,1,"Liver & Kidney - Metabolism"
SMPD1,ENSG00000166311,0.2573,-0.1547,1,"Liver & Kidney - Metabolism"
CYB5A,ENSG00000166347,0.4285,-0.1650,1,"Liver & Kidney - Metabolism"
TMEM135,ENSG00000166575,0.3789,-0.1485,1,"Liver & Kidney - Metabolism"
GLYATL1,ENSG00000166840,0.4243,-0.1536,1,"Liver & Kidney - Metabolism"
UGT1A6,ENSG00000167165,0.4149,-0.1463,1,"Liver & Kidney - Metabolism"
ACAA2,ENSG00000167315,0.4232,-0.1671,1,"Liver & Kidney - Metabolism"
ACOX2,ENSG00000168306,0.4295,-0.1644,1,"Liver & Kidney - Metabolism"
AR,ENSG00000169083,0.4113,-0.1781,1,"Liver & Kidney - Metabolism"
SDC2,ENSG00000169439,0.4235,-0.1647,1,"Liver & Kidney - Metabolism"
TMEM192,ENSG00000170088,0.3631,-0.1043,1,"Liver & Kidney - Metabolism"
NANP,ENSG00000170191,0.3712,-0.1414,1,"Liver & Kidney - Metabolism"
FAXDC2,ENSG00000170271,0.2681,-0.0963,1,"Liver & Kidney - Metabolism"
NUDT6,ENSG00000170917,0.2873,-0.1413,1,"Liver & Kidney - Metabolism"
UGT2B7,ENSG00000171234,0.4035,-0.1312,1,"Liver & Kidney - Metabolism"
ZDHHC16,ENSG00000171307,0.3562,-0.1214,1,"Liver & Kidney - Metabolism"
PAH,ENSG00000171759,0.4186,-0.1510,1,"Liver & Kidney - Metabolism"
CYP7B1,ENSG00000172817,0.3720,-0.1397,1,"Liver & Kidney - Metabolism"
PDP2,ENSG00000172840,0.3644,-0.0936,1,"Liver & Kidney - Metabolism"
ADH6,ENSG00000172955,0.4725,-0.2223,1,"Liver & Kidney - Metabolism"
MST1,ENSG00000173531,0.4726,-0.2216,1,"Liver & Kidney - Metabolism"
KICS2,ENSG00000174206,0.3080,-0.1082,1,"Liver & Kidney - Metabolism"
SUGCT,ENSG00000175600,0.3939,-0.0943,1,"Liver & Kidney - Metabolism"
LYSMD3,ENSG00000176018,0.3756,-0.1402,1,"Liver & Kidney - Metabolism"
DMRTA1,ENSG00000176399,0.4091,-0.1418,1,"Liver & Kidney - Metabolism"
SHMT1,ENSG00000176974,0.4143,-0.1431,1,"Liver & Kidney - Metabolism"
ACOT4,ENSG00000177465,0.4005,-0.1253,1,"Liver & Kidney - Metabolism"
GLDC,ENSG00000178445,0.4297,-0.2020,1,"Liver & Kidney - Metabolism"
TCAIM,ENSG00000179152,0.4065,-0.1377,1,"Liver & Kidney - Metabolism"
PIPOX,ENSG00000179761,0.4185,-0.1527,1,"Liver & Kidney - Metabolism"
DHTKD1,ENSG00000181192,0.4236,-0.1580,1,"Liver & Kidney - Metabolism"
YIPF6,ENSG00000181704,0.3148,-0.0970,1,"Liver & Kidney - Metabolism"
C5orf24,ENSG00000181904,0.3889,-0.1125,1,"Liver & Kidney - Metabolism"
GLTPD2,ENSG00000182327,0.4379,-0.1818,1,"Liver & Kidney - Metabolism"
ADI1,ENSG00000182551,0.4202,-0.1553,1,"Liver & Kidney - Metabolism"
SLC25A10,ENSG00000183048,0.4185,-0.1657,1,"Liver & Kidney - Metabolism"
ACSM5,ENSG00000183549,0.4686,-0.2257,1,"Liver & Kidney - Metabolism"
ACSM2A,ENSG00000183747,0.4026,-0.1287,1,"Liver & Kidney - Metabolism"
NIPSNAP1,ENSG00000184117,0.4179,-0.1557,1,"Liver & Kidney - Metabolism"
ACOT1,ENSG00000184227,0.4169,-0.1650,1,"Liver & Kidney - Metabolism"
IMMP2L,ENSG00000184903,0.3419,-0.1008,1,"Liver & Kidney - Metabolism"
METTL7A,ENSG00000185432,0.4088,-0.1549,1,"Liver & Kidney - Metabolism"
THNSL1,ENSG00000185875,0.4017,-0.1421,1,"Liver & Kidney - Metabolism"
CYP4A11,ENSG00000187048,0.4238,-0.1579,1,"Liver & Kidney - Metabolism"
PALM3,ENSG00000187867,0.3823,-0.0994,1,"Liver & Kidney - Metabolism"
ACADSB,ENSG00000196177,0.4191,-0.1534,1,"Liver & Kidney - Metabolism"
PIK3R4,ENSG00000196455,0.3863,-0.1431,1,"Liver & Kidney - Metabolism"
