gene_name,ensembl_gene_id,x,y,cluster_no,location_name
DHX33,ENSG00000005100,0.6153,-0.2512,40,"Astrocytes - Astrocyte-neuron interactions"
TMEM132A,ENSG00000006118,0.2751,-0.2880,40,"Astrocytes - Astrocyte-neuron interactions"
CDKL5,ENSG00000008086,0.6273,-0.2385,40,"Astrocytes - Astrocyte-neuron interactions"
RHOBTB2,ENSG00000008853,0.6108,-0.3138,40,"Astrocytes - Astrocyte-neuron interactions"
HIVEP2,ENSG00000010818,0.6661,0.0305,40,"Astrocytes - Astrocyte-neuron interactions"
SYT7,ENSG00000011347,0.6282,-0.2114,40,"Astrocytes - Astrocyte-neuron interactions"
PRDM11,ENSG00000019485,0.2902,-0.2793,40,"Astrocytes - Astrocyte-neuron interactions"
NLRP2,ENSG00000022556,0.6099,-0.5493,40,"Astrocytes - Astrocyte-neuron interactions"
HSD17B6,ENSG00000025423,0.3081,-0.3744,40,"Astrocytes - Astrocyte-neuron interactions"
BMAL2,ENSG00000029153,0.6888,-0.2250,40,"Astrocytes - Astrocyte-neuron interactions"
TRIO,ENSG00000038382,0.3682,-0.3770,40,"Astrocytes - Astrocyte-neuron interactions"
VPS13D,ENSG00000048707,0.5880,-0.2391,40,"Astrocytes - Astrocyte-neuron interactions"
KITLG,ENSG00000049130,0.5905,-0.2619,40,"Astrocytes - Astrocyte-neuron interactions"
COL23A1,ENSG00000050767,0.5091,-0.1648,40,"Astrocytes - Astrocyte-neuron interactions"
PLEKHA5,ENSG00000052126,0.6099,-0.2617,40,"Astrocytes - Astrocyte-neuron interactions"
LAMA3,ENSG00000053747,0.6231,-0.3713,40,"Astrocytes - Astrocyte-neuron interactions"
CCDC85A,ENSG00000055813,0.6413,-0.3045,40,"Astrocytes - Astrocyte-neuron interactions"
IL17RB,ENSG00000056736,0.2839,-0.3625,40,"Astrocytes - Astrocyte-neuron interactions"
TRAF3IP2,ENSG00000056972,0.2956,-0.5034,40,"Astrocytes - Astrocyte-neuron interactions"
FAR2,ENSG00000064763,0.6217,-0.2740,40,"Astrocytes - Astrocyte-neuron interactions"
ANKS1A,ENSG00000064999,0.1969,-0.3328,40,"Astrocytes - Astrocyte-neuron interactions"
CTNNA2,ENSG00000066032,0.5785,-0.2935,40,"Astrocytes - Astrocyte-neuron interactions"
MEF2A,ENSG00000068305,0.6630,-0.1080,40,"Astrocytes - Astrocyte-neuron interactions"
PPP2R2C,ENSG00000074211,0.6418,-0.3197,40,"Astrocytes - Astrocyte-neuron interactions"
MGLL,ENSG00000074416,0.6086,-0.2574,40,"Astrocytes - Astrocyte-neuron interactions"
RASAL2,ENSG00000075391,0.6504,-0.2272,40,"Astrocytes - Astrocyte-neuron interactions"
TMEM131,ENSG00000075568,0.6792,-0.0448,40,"Astrocytes - Astrocyte-neuron interactions"
NMRK2,ENSG00000077009,0.2449,-0.3673,40,"Astrocytes - Astrocyte-neuron interactions"
SLC1A3,ENSG00000079215,0.4153,-0.3705,40,"Astrocytes - Astrocyte-neuron interactions"
CARMIL1,ENSG00000079691,0.3434,-0.3642,40,"Astrocytes - Astrocyte-neuron interactions"
SLC4A4,ENSG00000080493,0.3848,-0.3770,40,"Astrocytes - Astrocyte-neuron interactions"
STK17B,ENSG00000081320,0.5907,-0.3469,40,"Astrocytes - Astrocyte-neuron interactions"
NCOA1,ENSG00000084676,0.5377,-0.4207,40,"Astrocytes - Astrocyte-neuron interactions"
MT3,ENSG00000087250,0.5524,-0.3294,40,"Astrocytes - Astrocyte-neuron interactions"
PPP1R13B,ENSG00000088808,0.3257,-0.4147,40,"Astrocytes - Astrocyte-neuron interactions"
EFNB1,ENSG00000090776,0.6330,-0.3606,40,"Astrocytes - Astrocyte-neuron interactions"
NAT14,ENSG00000090971,0.2373,-0.3538,40,"Astrocytes - Astrocyte-neuron interactions"
NRCAM,ENSG00000091129,0.5751,-0.3122,40,"Astrocytes - Astrocyte-neuron interactions"
TGFB2,ENSG00000092969,0.5994,-0.3055,40,"Astrocytes - Astrocyte-neuron interactions"
SORBS1,ENSG00000095637,0.4838,-0.3685,40,"Astrocytes - Astrocyte-neuron interactions"
TBC1D10A,ENSG00000099992,0.2842,-0.4464,40,"Astrocytes - Astrocyte-neuron interactions"
RNF215,ENSG00000099999,0.2672,-0.4583,40,"Astrocytes - Astrocyte-neuron interactions"
TFIP11,ENSG00000100109,0.6071,0.2984,40,"Astrocytes - Astrocyte-neuron interactions"
FOXRED2,ENSG00000100350,0.5853,-0.3694,40,"Astrocytes - Astrocyte-neuron interactions"
PAPLN,ENSG00000100767,0.3368,-0.3775,40,"Astrocytes - Astrocyte-neuron interactions"
GID8,ENSG00000101193,0.3631,-0.3736,40,"Astrocytes - Astrocyte-neuron interactions"
GMEB2,ENSG00000101216,0.3075,-0.3579,40,"Astrocytes - Astrocyte-neuron interactions"
KIF3B,ENSG00000101350,0.5334,-0.4071,40,"Astrocytes - Astrocyte-neuron interactions"
PRPS2,ENSG00000101911,0.6654,-0.1880,40,"Astrocytes - Astrocyte-neuron interactions"
RHBDL1,ENSG00000103269,0.6125,-0.2732,40,"Astrocytes - Astrocyte-neuron interactions"
CLUAP1,ENSG00000103351,0.3200,-0.3938,40,"Astrocytes - Astrocyte-neuron interactions"
TNNT1,ENSG00000105048,0.6364,-0.2156,40,"Astrocytes - Astrocyte-neuron interactions"
C19orf44,ENSG00000105072,-0.1507,-0.6630,40,"Astrocytes - Astrocyte-neuron interactions"
OLFM2,ENSG00000105088,0.5378,-0.2213,40,"Astrocytes - Astrocyte-neuron interactions"
MEGF8,ENSG00000105429,0.2908,-0.2530,40,"Astrocytes - Astrocyte-neuron interactions"
TNPO2,ENSG00000105576,0.5311,-0.2885,40,"Astrocytes - Astrocyte-neuron interactions"
RASA4,ENSG00000105808,0.2825,-0.4253,40,"Astrocytes - Astrocyte-neuron interactions"
PTN,ENSG00000105894,0.6154,-0.2488,40,"Astrocytes - Astrocyte-neuron interactions"
GSDME,ENSG00000105928,0.6371,-0.3878,40,"Astrocytes - Astrocyte-neuron interactions"
GLI3,ENSG00000106571,0.2401,-0.3380,40,"Astrocytes - Astrocyte-neuron interactions"
RAB11FIP2,ENSG00000107560,0.6637,-0.0745,40,"Astrocytes - Astrocyte-neuron interactions"
RASD1,ENSG00000108551,0.6445,-0.3090,40,"Astrocytes - Astrocyte-neuron interactions"
LRRC59,ENSG00000108829,0.6038,-0.2562,40,"Astrocytes - Astrocyte-neuron interactions"
HLF,ENSG00000108924,0.6905,-0.2112,40,"Astrocytes - Astrocyte-neuron interactions"
USP46,ENSG00000109189,0.4924,-0.3790,40,"Astrocytes - Astrocyte-neuron interactions"
CPE,ENSG00000109472,0.4502,-0.3999,40,"Astrocytes - Astrocyte-neuron interactions"
SLC1A2,ENSG00000110436,0.6194,-0.2757,40,"Astrocytes - Astrocyte-neuron interactions"
PPFIBP1,ENSG00000110841,0.6303,-0.2353,40,"Astrocytes - Astrocyte-neuron interactions"
ASIC1,ENSG00000110881,0.1877,-0.3271,40,"Astrocytes - Astrocyte-neuron interactions"
NR2E1,ENSG00000112333,0.2914,-0.3523,40,"Astrocytes - Astrocyte-neuron interactions"
EPM2A,ENSG00000112425,0.5171,-0.1563,40,"Astrocytes - Astrocyte-neuron interactions"
CCND3,ENSG00000112576,0.6928,-0.3797,40,"Astrocytes - Astrocyte-neuron interactions"
CLIC5,ENSG00000112782,0.2316,-0.3202,40,"Astrocytes - Astrocyte-neuron interactions"
PCDHB3,ENSG00000113205,0.6561,-0.1424,40,"Astrocytes - Astrocyte-neuron interactions"
PCDHB5,ENSG00000113209,0.6292,-0.2404,40,"Astrocytes - Astrocyte-neuron interactions"
PCDHB6,ENSG00000113211,0.6193,-0.2103,40,"Astrocytes - Astrocyte-neuron interactions"
PCDHB7,ENSG00000113212,0.6100,-0.2449,40,"Astrocytes - Astrocyte-neuron interactions"
PDE4D,ENSG00000113448,0.6252,-0.2795,40,"Astrocytes - Astrocyte-neuron interactions"
C3orf52,ENSG00000114529,0.0161,-0.6812,40,"Astrocytes - Astrocyte-neuron interactions"
NEK4,ENSG00000114904,0.2687,-0.3703,40,"Astrocytes - Astrocyte-neuron interactions"
OTX1,ENSG00000115507,0.2794,-0.3535,40,"Astrocytes - Astrocyte-neuron interactions"
CHST10,ENSG00000115526,0.6039,-0.2819,40,"Astrocytes - Astrocyte-neuron interactions"
PTCH2,ENSG00000117425,0.2135,-0.4936,40,"Astrocytes - Astrocyte-neuron interactions"
F3,ENSG00000117525,0.6143,-0.3124,40,"Astrocytes - Astrocyte-neuron interactions"
MTFR1L,ENSG00000117640,0.2303,-0.3511,40,"Astrocytes - Astrocyte-neuron interactions"
PLAGL1,ENSG00000118495,0.5869,-0.2353,40,"Astrocytes - Astrocyte-neuron interactions"
ACOT2,ENSG00000119673,0.4313,-0.3856,40,"Astrocytes - Astrocyte-neuron interactions"
GPAM,ENSG00000119927,0.2390,-0.3300,40,"Astrocytes - Astrocyte-neuron interactions"
PCDHB8,ENSG00000120322,0.6290,-0.2385,40,"Astrocytes - Astrocyte-neuron interactions"
PCDHB10,ENSG00000120324,0.5991,-0.2945,40,"Astrocytes - Astrocyte-neuron interactions"
PCDHB14,ENSG00000120327,0.6089,-0.2574,40,"Astrocytes - Astrocyte-neuron interactions"
PCDHB12,ENSG00000120328,0.6204,-0.2393,40,"Astrocytes - Astrocyte-neuron interactions"
AKAP1,ENSG00000121057,0.5537,0.1297,40,"Astrocytes - Astrocyte-neuron interactions"
TRIM25,ENSG00000121060,0.2935,-0.3756,40,"Astrocytes - Astrocyte-neuron interactions"
GJB6,ENSG00000121742,0.2377,-0.3216,40,"Astrocytes - Astrocyte-neuron interactions"
LRRC39,ENSG00000122477,0.6720,-0.0524,40,"Astrocytes - Astrocyte-neuron interactions"
CNTFR,ENSG00000122756,0.1414,-0.3364,40,"Astrocytes - Astrocyte-neuron interactions"
KIAA1549,ENSG00000122778,0.6058,-0.2667,40,"Astrocytes - Astrocyte-neuron interactions"
SARDH,ENSG00000123453,0.2592,-0.2989,40,"Astrocytes - Astrocyte-neuron interactions"
OBSL1,ENSG00000124006,0.2779,-0.4051,40,"Astrocytes - Astrocyte-neuron interactions"
SLC12A5,ENSG00000124140,0.5127,-0.1979,40,"Astrocytes - Astrocyte-neuron interactions"
PCK1,ENSG00000124253,0.2169,-0.3242,40,"Astrocytes - Astrocyte-neuron interactions"
NDP,ENSG00000124479,0.5233,-0.3404,40,"Astrocytes - Astrocyte-neuron interactions"
XPO5,ENSG00000124571,0.2970,-0.3834,40,"Astrocytes - Astrocyte-neuron interactions"
KCNK17,ENSG00000124780,0.1917,-0.4513,40,"Astrocytes - Astrocyte-neuron interactions"
ATXN1,ENSG00000124788,0.6331,-0.2207,40,"Astrocytes - Astrocyte-neuron interactions"
SOX21,ENSG00000125285,0.5796,-0.3284,40,"Astrocytes - Astrocyte-neuron interactions"
SDCBP2,ENSG00000125775,0.6094,-0.3512,40,"Astrocytes - Astrocyte-neuron interactions"
NRSN2,ENSG00000125841,0.5922,-0.2575,40,"Astrocytes - Astrocyte-neuron interactions"
AHDC1,ENSG00000126705,0.3228,-0.3804,40,"Astrocytes - Astrocyte-neuron interactions"
ABHD8,ENSG00000127220,0.5978,-0.2674,40,"Astrocytes - Astrocyte-neuron interactions"
TICAM1,ENSG00000127666,0.6340,-0.2358,40,"Astrocytes - Astrocyte-neuron interactions"
TPST2,ENSG00000128294,0.5694,-0.2708,40,"Astrocytes - Astrocyte-neuron interactions"
