gene_name,ensembl_gene_id,x,y,cluster_no,location_name
CDC27,ENSG00000004897,-0.0442,-0.7298,1,"Erythroid cells - Oxygen transport"
SLC4A1,ENSG00000004939,-0.0470,-0.7212,1,"Erythroid cells - Oxygen transport"
PIGQ,ENSG00000007541,-0.0366,-0.7220,1,"Erythroid cells - Oxygen transport"
METTL13,ENSG00000010165,-0.0359,-0.7250,1,"Erythroid cells - Oxygen transport"
SLC25A39,ENSG00000013306,-0.0431,-0.7216,1,"Erythroid cells - Oxygen transport"
GCLM,ENSG00000023909,-0.0424,-0.7308,1,"Erythroid cells - Oxygen transport"
RIPOR3,ENSG00000042062,-0.0427,-0.7124,1,"Erythroid cells - Oxygen transport"
XK,ENSG00000047597,-0.0447,-0.7282,1,"Erythroid cells - Oxygen transport"
TSPAN17,ENSG00000048140,-0.0390,-0.7219,1,"Erythroid cells - Oxygen transport"
KCNH2,ENSG00000055118,-0.0412,-0.7282,1,"Erythroid cells - Oxygen transport"
FECH,ENSG00000066926,-0.0406,-0.7263,1,"Erythroid cells - Oxygen transport"
SPTB,ENSG00000070182,-0.0461,-0.7286,1,"Erythroid cells - Oxygen transport"
ADD2,ENSG00000075340,-0.0412,-0.7265,1,"Erythroid cells - Oxygen transport"
LXN,ENSG00000079257,-0.0437,-0.7220,1,"Erythroid cells - Oxygen transport"
CPOX,ENSG00000080819,-0.0377,-0.7327,1,"Erythroid cells - Oxygen transport"
STRADB,ENSG00000082146,-0.0444,-0.7234,1,"Erythroid cells - Oxygen transport"
EIF2AK1,ENSG00000086232,-0.0338,-0.7182,1,"Erythroid cells - Oxygen transport"
HBQ1,ENSG00000086506,-0.0380,-0.7220,1,"Erythroid cells - Oxygen transport"
BLVRB,ENSG00000090013,-0.0444,-0.7317,1,"Erythroid cells - Oxygen transport"
FBXO7,ENSG00000100225,-0.0458,-0.7236,1,"Erythroid cells - Oxygen transport"
SYNGR1,ENSG00000100321,-0.0368,-0.7211,1,"Erythroid cells - Oxygen transport"
SAMM50,ENSG00000100347,-0.0358,-0.7209,1,"Erythroid cells - Oxygen transport"
DCAF11,ENSG00000100897,-0.0420,-0.7217,1,"Erythroid cells - Oxygen transport"
GATA1,ENSG00000102145,-0.0443,-0.7270,1,"Erythroid cells - Oxygen transport"
NPRL3,ENSG00000103148,-0.0433,-0.7231,1,"Erythroid cells - Oxygen transport"
NME4,ENSG00000103202,-0.0422,-0.7271,1,"Erythroid cells - Oxygen transport"
CLC,ENSG00000105205,-0.0492,-0.7297,1,"Erythroid cells - Oxygen transport"
